sys_no,user_id,s.no,url,title,visit_count,typed_count,last_visit_time,hidden,first_visit_time,from_visit,transition
1,1918L04,0,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,08/11/2022 23:50,0,1601-01-01 05:43:58
1,1918L04,1,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,08/11/2022 23:51,1,1601-01-01 05:43:25
1,1918L04,2,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,08/11/2022 23:52,2,1601-01-01 05:43:25
1,1918L04,3,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,08/11/2022 23:52,3,1601-01-01 05:43:25
1,1918L04,4,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,08/11/2022 23:53,0,1601-01-01 05:43:58
1,1918L04,5,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,08/11/2022 23:54,5,1601-01-01 05:43:25
1,1918L04,6,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,08/11/2022 23:54,6,1601-01-01 05:43:25
1,1918L04,7,https://www.google.com/search?q=File+%22C%3A%5CUsers%5Ckrith%5COneDrive%5CDesktop%5Clogin%5Cclient%5Cnew.py%22%2C+line+9%2C+in+%3Cmodule%3E+c.execute(%22SELECT+urls.url%2C+urls.title%2C+urls.visit_count%2C+urls.typed_count%2C+datetime(urls.last_visit_time+%2F+1000000+%2B+(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+last_visit_time%2C+urls.hidden%2C+datetime(visits.visit_time+%2F+1000000+%2B+(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+visit_time%2C+visits.from_visit%2C+datetime(visits.transition%2F+1000000+%2B+(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+transition+FROM+urls%2C+visits+WHERE+urls.id+%3D+visits.url%22)+sqlite3.OperationalError%3A+database+is+locked&rlz=1C1JJTC_enIN1028IN1028&oq=File+%22C%3A%5CUsers%5Ckrith%5COneDrive%5CDesktop%5Clogin%5Cclient%5Cnew.py%22%2C+line+9%2C+in+%3Cmodule%3E+++++c.execute(%22SELECT+urls.url%2C+urls.title%2C+urls.visit_count%2C+urls.typed_count%2C+datetime(urls.last_visit_time+%2F+1000000+%2B++(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+last_visit_time%2C+urls.hidden%2C+datetime(visits.visit_time+%2F+1000000+%2B++(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+visit_time%2C+visits.from_visit%2C+datetime(visits.transition%2F+1000000+%2B++(strftime(%27%25s%27%2C+%271601-01-01%27+))%2C+%27unixepoch%27%2C%27localtime%27)+as+transition+FROM+urls%2C+visits+WHERE+urls.id+%3D+visits.url%22)+sqlite3.OperationalError%3A+database+is+locked&aqs=chrome..69i57.256j0j15&sourceid=chrome&ie=UTF-8,"File ""C:\Users\krith\OneDrive\Desktop\login\client\new.py"", line 9, in <module> c.execute(""SELECT urls.url, urls.title, urls.visit_count, urls.typed_count, datetime(urls.last_visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as last_visit_time, urls.hidden, datetime(visits.visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as visit_time, visits.from_visit, datetime(visits.transition/ 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as transition FROM urls, visits WHERE urls.id = visits.url"") sqlite3.OperationalError: database is locked - Google Search",1,0,09/11/2022 00:01,0,09/11/2022 00:01,0,1601-01-01 05:43:25
1,1918L04,8,"https://www.google.com/search?rlz=1C1JJTC_enIN1028IN1028&q=File+%22C:%5CUsers%5Ckrith%5COneDrive%5CDesktop%5Clogin%5Cclient%5Cnew.py%22,+line+9,+in+%3Cmodule%3E+c.execute(%22SELECT+urls.url,+urls.title,+urls.visit+count,+url.typed+count,+datetime(urls.last_visit_time+/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+last_visit_time,+urls.hidden,+datetime(visits.visit_time+/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+visit_time,+visits.from_visit,+datetime(visits.transition/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+transition+FROM+urls,+visits+WHERE+urls.id+%3D+visited.url%22)+sqlite3.OperationalError:+database+is+locked&spell=1&sa=X&ved=2ahUKEwipvcP-m5_7AhVgyzgGHdToAaMQBSgAegQIBxAB","File ""C:\Users\krith\OneDrive\Desktop\login\client\new.py"", line 9, in <module> c.execute(""SELECT urls.url, urls.title, urls.visit count, url.typed count, datetime(urls.last_visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as last_visit_time, urls.hidden, datetime(visits.visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as visit_time, visits.from_visit, datetime(visits.transition/ 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as transition FROM urls, visits WHERE urls.id = visited.url"") sqlite3.OperationalError: database is locked - Google Search",2,0,09/11/2022 00:01,0,09/11/2022 00:01,8,1601-01-01 05:43:25
1,1918L04,9,"https://www.google.com/search?rlz=1C1JJTC_enIN1028IN1028&q=File+%22C:%5CUsers%5Ckrith%5COneDrive%5CDesktop%5Clogin%5Cclient%5Cnew.py%22,+line+9,+in+%3Cmodule%3E+c.execute(%22SELECT+urls.url,+urls.title,+urls.visit+count,+url.typed+count,+datetime(urls.last_visit_time+/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+last_visit_time,+urls.hidden,+datetime(visits.visit_time+/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+visit_time,+visits.from_visit,+datetime(visits.transition/+1000000+%2B+(strftime(%27%25s%27,+%271601-01-01%27+)),+%27unixepoch%27,%27localtime%27)+as+transition+FROM+urls,+visits+WHERE+urls.id+%3D+visited.url%22)+sqlite3.OperationalError:+database+is+locked&spell=1&sa=X&ved=2ahUKEwipvcP-m5_7AhVgyzgGHdToAaMQBSgAegQIBxAB","File ""C:\Users\krith\OneDrive\Desktop\login\client\new.py"", line 9, in <module> c.execute(""SELECT urls.url, urls.title, urls.visit count, url.typed count, datetime(urls.last_visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as last_visit_time, urls.hidden, datetime(visits.visit_time / 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as visit_time, visits.from_visit, datetime(visits.transition/ 1000000 + (strftime('%s', '1601-01-01' )), 'unixepoch','localtime') as transition FROM urls, visits WHERE urls.id = visited.url"") sqlite3.OperationalError: database is locked - Google Search",2,0,09/11/2022 00:01,0,09/11/2022 00:01,9,1601-01-01 05:43:25
1,1918L04,10,https://www.google.com/search?q=sqlite3.OperationalError%3A+database+is+locked&rlz=1C1JJTC_enIN1028IN1028&ei=i6BqY5LfK9SN4-EPhMugiA8&ved=0ahUKEwjS0O-BnJ_7AhXUxjgGHYQlCPEQ4dUDCA8&uact=5&oq=sqlite3.OperationalError%3A+database+is+locked&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQhgNKBAhBGABKBAhGGABQAFgAYABoAHAAeACAAfACiAHwApIBAzMtMZgBAA&sclient=gws-wiz-serp,sqlite3.OperationalError: database is locked - Google Search,2,0,09/11/2022 00:02,0,09/11/2022 00:02,10,1601-01-01 05:43:25
1,1918L04,11,https://www.google.com/search?q=sqlite3.OperationalError%3A+database+is+locked&rlz=1C1JJTC_enIN1028IN1028&ei=i6BqY5LfK9SN4-EPhMugiA8&ved=0ahUKEwjS0O-BnJ_7AhXUxjgGHYQlCPEQ4dUDCA8&uact=5&oq=sqlite3.OperationalError%3A+database+is+locked&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQhgNKBAhBGABKBAhGGABQAFgAYABoAHAAeACAAfACiAHwApIBAzMtMZgBAA&sclient=gws-wiz-serp,sqlite3.OperationalError: database is locked - Google Search,2,0,09/11/2022 00:02,0,09/11/2022 00:02,11,1601-01-01 05:43:25
1,1918L04,12,https://stackoverflow.com/questions/3172929/operationalerror-database-is-locked,python - OperationalError: database is locked - Stack Overflow,1,0,09/11/2022 00:02,0,09/11/2022 00:02,12,1601-01-01 05:43:25
1,1918L04,13,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,09/11/2022 00:07,0,1601-01-01 05:43:58
1,1918L04,14,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:07,14,1601-01-01 05:43:25
1,1918L04,15,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,09/11/2022 00:07,15,1601-01-01 05:43:25
1,1918L04,16,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,09/11/2022 00:08,0,1601-01-01 05:43:58
1,1918L04,17,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:08,17,1601-01-01 05:43:25
1,1918L04,18,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,09/11/2022 00:08,18,1601-01-01 05:34:28
1,1918L04,19,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:08,19,1601-01-01 05:03:10
1,1918L04,20,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,20,1601-01-01 05:43:25
1,1918L04,21,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,21,1601-01-01 05:43:25
1,1918L04,22,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,22,1601-01-01 05:43:25
